future_score,score,num_food,num_capsules,pacman_x,pacman_y,ghost0_x,ghost0_y,ghost1_x,ghost1_y,ghost2_x,ghost2_y,ghost3_x,ghost3_y,north,south,east,west,stop,prev_action
244,245,0,4,10,15,1,5,8,11,-1,-1,-1,-1,1,1,West
243,244,0,4,11,15,1,4,7,11,-1,-1,-1,-1,1,1,1,East
242,243,0,4,10,15,1,4,6,11,-1,-1,-1,-1,1,1,West
241,242,0,4,11,15,1,5,6,10,-1,-1,-1,-1,1,1,1,East
240,241,0,4,10,15,1,4,6,11,-1,-1,-1,-1,1,1,West
239,240,0,4,11,15,1,4,5,11,-1,-1,-1,-1,1,1,1,East
238,239,0,4,10,15,1,3,5,11,-1,-1,-1,-1,1,1,West
237,238,0,4,11,15,1,3,4,11,-1,-1,-1,-1,1,1,1,East
236,237,0,4,10,15,2,3,4,11,-1,-1,-1,-1,1,1,West
235,236,0,4,11,15,1,3,3,11,-1,-1,-1,-1,1,1,1,East
234,235,0,4,10,15,2,3,4,11,-1,-1,-1,-1,1,1,West
233,234,0,4,11,15,2,3,4,11,-1,-1,-1,-1,1,1,1,East
232,233,0,4,10,15,3,3,3,11,-1,-1,-1,-1,1,1,West
231,232,0,4,11,15,2,3,2,11,-1,-1,-1,-1,1,1,1,East
230,231,0,4,10,15,2,3,3,11,-1,-1,-1,-1,1,1,West
229,230,0,4,11,15,3,3,4,11,-1,-1,-1,-1,1,1,1,East
228,229,0,4,10,15,4,3,3,11,-1,-1,-1,-1,1,1,West
227,228,0,4,11,15,3,3,3,11,-1,-1,-1,-1,1,1,1,East
226,227,0,4,10,15,3,3,3,11,-1,-1,-1,-1,1,1,West
225,226,0,4,11,15,4,3,3,11,-1,-1,-1,-1,1,1,1,East
224,225,0,4,10,15,3,3,3,11,-1,-1,-1,-1,1,1,West
223,224,0,4,11,15,4,3,3,11,-1,-1,-1,-1,1,1,1,East
222,223,0,4,10,15,4,3,3,11,-1,-1,-1,-1,1,1,West
221,222,0,4,11,15,5,3,3,11,-1,-1,-1,-1,1,1,1,East
220,221,0,4,10,15,4,3,2,11,-1,-1,-1,-1,1,1,West
219,220,0,4,11,15,4,3,2,11,-1,-1,-1,-1,1,1,1,East
218,219,0,4,10,15,4,3,1,11,-1,-1,-1,-1,1,1,West
217,218,0,4,11,15,4,3,2,11,-1,-1,-1,-1,1,1,1,East
216,217,0,4,10,15,5,3,2,11,-1,-1,-1,-1,1,1,West
215,216,0,4,11,15,6,3,1,11,-1,-1,-1,-1,1,1,1,East
214,215,0,4,10,15,7,3,1,11,-1,-1,-1,-1,1,1,West
213,214,0,4,11,15,6,3,2,11,-1,-1,-1,-1,1,1,1,East
212,213,0,4,10,15,6,3,1,11,-1,-1,-1,-1,1,1,West
211,212,0,4,11,15,6,3,1,10,-1,-1,-1,-1,1,1,1,East
210,211,0,4,10,15,5,3,1,10,-1,-1,-1,-1,1,1,West
209,210,0,4,11,15,6,3,1,11,-1,-1,-1,-1,1,1,1,East
208,209,0,4,10,15,7,3,1,11,-1,-1,-1,-1,1,1,West
207,208,0,4,11,15,7,3,2,11,-1,-1,-1,-1,1,1,1,East
206,207,0,4,10,15,7,3,2,11,-1,-1,-1,-1,1,1,West
205,206,0,4,11,15,7,3,3,11,-1,-1,-1,-1,1,1,1,East
204,205,0,4,10,15,6,3,4,11,-1,-1,-1,-1,1,1,West
203,204,0,4,11,15,5,3,4,11,-1,-1,-1,-1,1,1,1,East
202,203,0,4,10,15,4,3,3,11,-1,-1,-1,-1,1,1,West
201,202,0,4,11,15,5,3,3,11,-1,-1,-1,-1,1,1,1,East
200,201,0,4,10,15,4,3,4,11,-1,-1,-1,-1,1,1,West
199,200,0,4,11,15,5,3,4,11,-1,-1,-1,-1,1,1,1,East
