@RELATION training_keyboard


   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE prev_score NUMERIC
   @ATTRIBUTE prev_action {Stop,West,East,North,South}
   @ATTRIBUTE num_food NUMERIC
   @ATTRIBUTE num_capsules NUMERIC
   @ATTRIBUTE pacman_x NUMERIC
   @ATTRIBUTE pacman_y NUMERIC
   @ATTRIBUTE ghost0_x NUMERIC
   @ATTRIBUTE ghost0_y NUMERIC
   @ATTRIBUTE ghost1_x NUMERIC
   @ATTRIBUTE ghost1_y NUMERIC
   @ATTRIBUTE ghost2_x NUMERIC
   @ATTRIBUTE ghost2_y NUMERIC
   @ATTRIBUTE ghost3_x NUMERIC
   @ATTRIBUTE ghost3_y NUMERIC


   @data
1767,1766,East,105,2,11,7,9,3,-1,-1,19,12,22,9
1866,1865,East,104,2,12,7,9,3,-1,-1,19,12,22,9
1865,1864,South,104,2,12,6,9,3,-1,-1,19,12,22,9
1864,1863,West,104,2,11,6,9,3,-1,-1,19,12,22,9
1963,1962,West,103,2,10,6,9,3,-1,-1,19,12,22,9
2062,2061,West,102,2,9,6,9,3,-1,-1,19,12,22,9
2161,2160,West,101,2,8,6,9,3,-1,-1,19,12,22,9
2260,2259,West,100,2,7,6,9,3,-1,-1,19,12,22,9
2359,2358,South,99,2,7,5,9,3,-1,-1,19,12,22,9
2458,2457,South,98,2,7,4,9,3,-1,-1,19,12,22,9
2557,2556,South,97,2,7,3,9,3,-1,-1,19,12,22,9
2656,2655,East,96,2,8,3,9,3,-1,-1,19,12,22,9
2855,2854,East,96,2,9,3,-1,-1,-1,-1,19,12,22,9
2954,2953,East,95,2,10,3,-1,-1,-1,-1,19,12,22,9
3053,3052,North,94,2,10,4,-1,-1,-1,-1,19,12,22,9
3152,3151,North,93,2,10,5,-1,-1,-1,-1,19,12,22,9
3251,3250,East,92,2,11,5,-1,-1,-1,-1,19,12,22,9
3350,3349,East,91,2,12,5,-1,-1,-1,-1,19,12,22,9
3349,3348,East,91,2,13,5,-1,-1,-1,-1,19,12,22,9
3348,3347,East,91,2,14,5,-1,-1,-1,-1,19,12,22,9
3447,3446,East,90,2,15,5,-1,-1,-1,-1,19,12,22,9
3546,3545,East,89,2,16,5,-1,-1,-1,-1,19,12,22,9
3645,3644,East,88,2,17,5,-1,-1,-1,-1,19,12,22,9
3644,3643,East,88,2,18,5,-1,-1,-1,-1,19,12,22,9
3643,3642,East,88,2,19,5,-1,-1,-1,-1,19,12,22,9
3742,3741,East,87,2,20,5,-1,-1,-1,-1,19,12,22,9
3841,3840,North,86,2,20,6,-1,-1,-1,-1,19,12,22,9
3940,3939,North,85,2,20,7,-1,-1,-1,-1,19,12,22,9
4039,4038,North,84,2,20,8,-1,-1,-1,-1,19,12,22,9
4138,4137,North,83,2,20,9,-1,-1,-1,-1,19,12,22,9
4137,4136,East,83,2,21,9,-1,-1,-1,-1,19,12,22,9
4336,4335,East,83,2,22,9,-1,-1,-1,-1,19,12,-1,-1
4335,4334,East,83,2,23,9,-1,-1,-1,-1,19,12,-1,-1
4334,4333,North,83,2,23,10,-1,-1,-1,-1,19,12,-1,-1
4433,4432,West,82,2,22,10,-1,-1,-1,-1,19,12,-1,-1
4532,4531,West,81,2,21,10,-1,-1,-1,-1,19,12,-1,-1
4631,4630,West,80,2,20,10,-1,-1,-1,-1,19,12,-1,-1
4730,4729,North,79,2,20,11,-1,-1,-1,-1,19,12,-1,-1
4829,4828,North,78,2,20,12,-1,-1,-1,-1,19,12,-1,-1
0,-1,Stop,121,2,4,12,9,3,11,7,19,12,22,9
-1,-2,Stop,121,2,4,12,8,3,11,8,19,11,22,9
-2,-3,Stop,121,2,4,12,8,3,10,8,19,12,21,9
-3,-4,Stop,121,2,4,12,8,4,10,9,18,12,21,8
-4,-5,Stop,121,2,4,12,9,4,10,8,18,11,21,7
-5,-6,Stop,121,2,4,12,8,4,9,8,19,11,20,7
-6,-7,Stop,121,2,4,12,7,4,9,8,20,11,21,7
-7,-8,East,121,2,5,12,7,4,9,7,19,11,20,7
-8,-9,East,121,2,6,12,8,4,9,7,18,11,20,8
91,90,East,120,2,7,12,8,3,8,7,19,11,21,8
190,189,East,119,2,8,12,9,3,8,8,20,11,21,7
289,288,East,118,2,9,12,10,3,8,9,20,12,21,6
388,387,East,117,2,10,12,11,3,7,9,19,12,22,6
