@relation 'training_keyboard-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,9,10,11,12,13,14,15,3'

@attribute score numeric
@attribute prev_score numeric
@attribute num_food numeric
@attribute num_capsules numeric
@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute ghost0_x numeric
@attribute ghost0_y numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute prev_action {Stop,West,East,North,South}

@data
529,528,0,4,13,15,13,16,-1,-1,-1,-1,-1,-1,West
528,527,0,4,12,15,13,15,-1,-1,-1,-1,-1,-1,West
527,526,0,4,11,15,12,15,-1,-1,-1,-1,-1,-1,West
526,525,0,4,10,15,11,15,-1,-1,-1,-1,-1,-1,West
0,-1,121,2,4,12,9,3,11,7,19,12,22,9,Stop
-1,-2,121,2,4,12,9,3,11,7,19,12,22,9,Stop
-2,-3,121,2,4,12,9,3,11,7,19,12,22,9,Stop
-3,-4,121,2,4,12,9,3,11,7,19,12,22,9,Stop
-4,-5,121,2,4,12,9,3,11,7,19,12,22,9,Stop
-5,-6,121,2,4,12,9,3,11,7,19,12,22,9,Stop
-6,-7,121,2,4,12,9,3,11,7,19,12,22,9,Stop
-7,-8,121,2,4,12,9,3,11,7,19,12,22,9,Stop
-8,-9,121,2,5,12,9,3,11,7,19,12,22,9,East
-9,-10,121,2,6,12,9,3,11,7,19,12,22,9,East
90,89,120,2,7,12,9,3,11,7,19,12,22,9,East
189,188,119,2,8,12,9,3,11,7,19,12,22,9,East
288,287,118,2,9,12,9,3,11,7,19,12,22,9,East
387,386,117,2,10,12,9,3,11,7,19,12,22,9,East
386,385,117,2,11,12,9,3,11,7,19,12,22,9,East
385,384,117,2,12,12,9,3,11,7,19,12,22,9,East
484,483,116,2,12,11,9,3,11,7,19,12,22,9,South
583,582,115,2,11,11,9,3,11,7,19,12,22,9,West
682,681,114,2,10,11,9,3,11,7,19,12,22,9,West
681,680,114,2,9,11,9,3,11,7,19,12,22,9,West
680,679,114,2,8,11,9,3,11,7,19,12,22,9,West
779,778,113,2,7,11,9,3,11,7,19,12,22,9,West
878,877,112,2,6,11,9,3,11,7,19,12,22,9,West
977,976,111,2,5,11,9,3,11,7,19,12,22,9,West
1076,1075,110,2,5,10,9,3,11,7,19,12,22,9,South
1075,1074,110,2,5,9,9,3,11,7,19,12,22,9,South
1174,1173,109,2,5,8,9,3,11,7,19,12,22,9,South
1273,1272,108,2,5,7,9,3,11,7,19,12,22,9,South
1372,1371,107,2,6,7,9,3,11,7,19,12,22,9,East
1471,1470,106,2,7,7,9,3,11,7,19,12,22,9,East
1470,1469,106,2,8,7,9,3,11,7,19,12,22,9,East
1469,1468,106,2,9,7,9,3,11,7,19,12,22,9,East
1568,1567,105,2,10,7,9,3,11,7,19,12,22,9,East
1767,1766,105,2,11,7,9,3,-1,-1,19,12,22,9,East
1866,1865,104,2,12,7,9,3,-1,-1,19,12,22,9,East
1865,1864,104,2,12,6,9,3,-1,-1,19,12,22,9,South
1864,1863,104,2,11,6,9,3,-1,-1,19,12,22,9,West
1963,1962,103,2,10,6,9,3,-1,-1,19,12,22,9,West
2062,2061,102,2,9,6,9,3,-1,-1,19,12,22,9,West
2161,2160,101,2,8,6,9,3,-1,-1,19,12,22,9,West
2260,2259,100,2,7,6,9,3,-1,-1,19,12,22,9,West
2359,2358,99,2,7,5,9,3,-1,-1,19,12,22,9,South
2458,2457,98,2,7,4,9,3,-1,-1,19,12,22,9,South
2557,2556,97,2,7,3,9,3,-1,-1,19,12,22,9,South
2656,2655,96,2,8,3,9,3,-1,-1,19,12,22,9,East
2855,2854,96,2,9,3,-1,-1,-1,-1,19,12,22,9,East
2954,2953,95,2,10,3,-1,-1,-1,-1,19,12,22,9,East
3053,3052,94,2,10,4,-1,-1,-1,-1,19,12,22,9,North
3152,3151,93,2,10,5,-1,-1,-1,-1,19,12,22,9,North
3251,3250,92,2,11,5,-1,-1,-1,-1,19,12,22,9,East
3350,3349,91,2,12,5,-1,-1,-1,-1,19,12,22,9,East
3349,3348,91,2,13,5,-1,-1,-1,-1,19,12,22,9,East
3348,3347,91,2,14,5,-1,-1,-1,-1,19,12,22,9,East
3447,3446,90,2,15,5,-1,-1,-1,-1,19,12,22,9,East
3546,3545,89,2,16,5,-1,-1,-1,-1,19,12,22,9,East
3645,3644,88,2,17,5,-1,-1,-1,-1,19,12,22,9,East
3644,3643,88,2,18,5,-1,-1,-1,-1,19,12,22,9,East
3643,3642,88,2,19,5,-1,-1,-1,-1,19,12,22,9,East
3742,3741,87,2,20,5,-1,-1,-1,-1,19,12,22,9,East
3841,3840,86,2,20,6,-1,-1,-1,-1,19,12,22,9,North
3940,3939,85,2,20,7,-1,-1,-1,-1,19,12,22,9,North
4039,4038,84,2,20,8,-1,-1,-1,-1,19,12,22,9,North
4138,4137,83,2,20,9,-1,-1,-1,-1,19,12,22,9,North
4137,4136,83,2,21,9,-1,-1,-1,-1,19,12,22,9,East
4336,4335,83,2,22,9,-1,-1,-1,-1,19,12,-1,-1,East
4335,4334,83,2,23,9,-1,-1,-1,-1,19,12,-1,-1,East
4334,4333,83,2,23,10,-1,-1,-1,-1,19,12,-1,-1,North
4433,4432,82,2,22,10,-1,-1,-1,-1,19,12,-1,-1,West
4532,4531,81,2,21,10,-1,-1,-1,-1,19,12,-1,-1,West
4631,4630,80,2,20,10,-1,-1,-1,-1,19,12,-1,-1,West
